chest,cable-cross-overs,low,20,7,344,-936,-544
chest,cable-cross-overs,low,20,7,383,-905,-552
chest,cable-cross-overs,low,20,7,384,-942,-636
chest,cable-cross-overs,low,20,7,429,-974,-662
chest,cable-cross-overs,low,20,7,417,-947,-671
chest,cable-cross-overs,low,20,7,402,-894,-708
chest,cable-cross-overs,low,20,7,379,-860,-628
chest,cable-cross-overs,low,20,7,410,-890,-623
chest,cable-cross-overs,low,20,7,369,-889,-631
chest,cable-cross-overs,low,20,7,353,-855,-645
chest,cable-cross-overs,low,20,7,390,-816,-597
chest,cable-cross-overs,low,20,7,381,-808,-578
chest,cable-cross-overs,low,20,7,358,-784,-534
chest,cable-cross-overs,low,20,7,334,-764,-502
chest,cable-cross-overs,low,20,7,322,-754,-490
chest,cable-cross-overs,low,20,7,337,-769,-499
chest,cable-cross-overs,low,20,7,339,-814,-466
chest,cable-cross-overs,low,20,7,336,-821,-474
chest,cable-cross-overs,low,20,7,336,-806,-478
chest,cable-cross-overs,low,20,7,346,-800,-487
chest,cable-cross-overs,low,20,7,357,-800,-515
chest,cable-cross-overs,low,20,7,369,-777,-509
chest,cable-cross-overs,low,20,7,372,-720,-514
chest,cable-cross-overs,low,20,7,385,-688,-541
chest,cable-cross-overs,low,20,7,408,-688,-544
chest,cable-cross-overs,low,20,7,420,-688,-576
chest,cable-cross-overs,low,20,7,439,-665,-620
chest,cable-cross-overs,low,20,7,463,-625,-639
chest,cable-cross-overs,low,20,7,479,-612,-645
chest,cable-cross-overs,low,20,7,491,-619,-645
chest,cable-cross-overs,low,20,7,502,-621,-645
chest,cable-cross-overs,low,20,7,521,-628,-637
chest,cable-cross-overs,low,20,7,539,-636,-666
chest,cable-cross-overs,low,20,7,544,-608,-648
chest,cable-cross-overs,low,20,7,552,-597,-632
chest,cable-cross-overs,low,20,7,575,-613,-637
chest,cable-cross-overs,low,20,7,590,-617,-630
chest,cable-cross-overs,low,20,7,586,-592,-571
chest,cable-cross-overs,low,20,7,596,-539,-526
chest,cable-cross-overs,low,20,7,613,-453,-489
chest,cable-cross-overs,low,20,7,627,-510,-512
chest,cable-cross-overs,low,20,7,624,-640,-669
chest,cable-cross-overs,low,20,7,695,-553,-533
chest,cable-cross-overs,low,20,7,700,-489,-461
chest,cable-cross-overs,low,20,7,764,-542,-578
chest,cable-cross-overs,low,20,7,739,-530,-537
chest,cable-cross-overs,low,20,7,761,-537,-543
chest,cable-cross-overs,low,20,7,764,-464,-533
chest,cable-cross-overs,low,20,7,712,-461,-490
chest,cable-cross-overs,low,20,7,720,-400,-532
chest,cable-cross-overs,low,20,7,736,-400,-391
chest,cable-cross-overs,low,20,7,776,-448,-321
chest,cable-cross-overs,low,20,7,792,-456,-413
chest,cable-cross-overs,low,20,7,792,-410,-439
chest,cable-cross-overs,low,20,7,867,-371,-336
chest,cable-cross-overs,low,20,7,901,-324,-277
chest,cable-cross-overs,low,20,7,911,-384,-422
chest,cable-cross-overs,low,20,7,926,-385,-461
chest,cable-cross-overs,low,20,7,989,-295,-491
chest,cable-cross-overs,low,20,7,973,-193,-483
chest,cable-cross-overs,low,20,7,981,-209,-526
chest,cable-cross-overs,low,20,7,1016,-178,-625
chest,cable-cross-overs,low,20,7,1024,-75,-667
chest,cable-cross-overs,low,20,7,1000,6,-654
chest,cable-cross-overs,low,20,7,933,106,-595
chest,cable-cross-overs,low,20,7,838,130,-576
chest,cable-cross-overs,low,20,7,802,206,-548
chest,cable-cross-overs,low,20,7,789,256,-547
chest,cable-cross-overs,low,20,7,737,296,-662
chest,cable-cross-overs,low,20,7,625,424,-429
chest,cable-cross-overs,low,20,7,606,379,-644
chest,cable-cross-overs,low,20,7,624,374,-803
chest,cable-cross-overs,low,20,7,624,300,-743
chest,cable-cross-overs,low,20,7,651,176,-740
chest,cable-cross-overs,low,20,7,659,144,-800
chest,cable-cross-overs,low,20,7,631,156,-831
chest,cable-cross-overs,low,20,7,608,108,-736
chest,cable-cross-overs,low,20,7,642,10,-748
chest,cable-cross-overs,low,20,7,692,-36,-704
chest,cable-cross-overs,low,20,7,689,13,-529
chest,cable-cross-overs,low,20,7,687,100,-527
chest,cable-cross-overs,low,20,7,693,167,-494
chest,cable-cross-overs,low,20,7,682,236,-432
chest,cable-cross-overs,low,20,7,660,265,-473
chest,cable-cross-overs,low,20,7,637,305,-569
chest,cable-cross-overs,low,20,7,629,368,-577
