arms,biceps-curl,360,88,-768
arms,biceps-curl,344,220,-877
arms,biceps-curl,276,422,-720
arms,biceps-curl,183,648,-734
arms,biceps-curl,132,824,-619
arms,biceps-curl,149,1033,-529
arms,biceps-curl,187,1189,-548
arms,biceps-curl,233,1112,-518
arms,biceps-curl,287,1123,-312
arms,biceps-curl,348,1076,-298
arms,biceps-curl,443,994,-329
arms,biceps-curl,520,920,-268
arms,biceps-curl,596,892,-157
arms,biceps-curl,698,864,-204
arms,biceps-curl,768,827,-278
arms,biceps-curl,778,794,-313
arms,biceps-curl,765,692,-260
arms,biceps-curl,771,795,-264
arms,biceps-curl,791,882,-260
arms,biceps-curl,795,824,-317
arms,biceps-curl,797,712,-207
arms,biceps-curl,828,613,-210
arms,biceps-curl,879,634,-342
arms,biceps-curl,921,680,-380
arms,biceps-curl,919,701,-314
arms,biceps-curl,848,728,-184
arms,biceps-curl,765,736,-131
arms,biceps-curl,710,754,-156
arms,biceps-curl,659,769,-121
arms,biceps-curl,602,753,-62
arms,biceps-curl,544,757,-54
arms,biceps-curl,492,709,-18
arms,biceps-curl,431,629,50
arms,biceps-curl,381,666,67
arms,biceps-curl,336,648,133
arms,biceps-curl,335,674,148
arms,biceps-curl,386,696,109
arms,biceps-curl,430,690,103
arms,biceps-curl,430,672,211
arms,biceps-curl,457,683,360
arms,biceps-curl,513,718,401
arms,biceps-curl,618,705,316
arms,biceps-curl,673,675,204
arms,biceps-curl,725,690,286
arms,biceps-curl,761,701,403
arms,biceps-curl,829,674,304
arms,biceps-curl,875,620,234
arms,biceps-curl,907,586,169
arms,biceps-curl,945,616,177
arms,biceps-curl,969,607,198
arms,biceps-curl,992,583,127
arms,biceps-curl,1016,529,33
arms,biceps-curl,1008,505,32
arms,biceps-curl,1008,542,78
arms,biceps-curl,1001,551,102
arms,biceps-curl,993,537,104
arms,biceps-curl,992,529,18
arms,biceps-curl,964,535,-34
arms,biceps-curl,946,556,-13
arms,biceps-curl,944,580,72
arms,biceps-curl,924,519,140
arms,biceps-curl,939,498,50
arms,biceps-curl,963,508,98
arms,biceps-curl,968,524,150
arms,biceps-curl,956,581,266
arms,biceps-curl,941,640,344
arms,biceps-curl,936,667,343
