shoulders,lateral-raise,407,-583,-607
shoulders,lateral-raise,397,-568,-673
shoulders,lateral-raise,359,-571,-718
shoulders,lateral-raise,343,-571,-656
shoulders,lateral-raise,339,-527,-651
shoulders,lateral-raise,400,-502,-697
shoulders,lateral-raise,444,-479,-667
shoulders,lateral-raise,484,-494,-692
shoulders,lateral-raise,337,-584,-728
shoulders,lateral-raise,2034,-332,-1094
shoulders,lateral-raise,1144,590,-1074
shoulders,lateral-raise,742,304,-699
shoulders,lateral-raise,417,47,-691
shoulders,lateral-raise,40,-352,-404
shoulders,lateral-raise,16,244,-685
shoulders,lateral-raise,95,-499,355
shoulders,lateral-raise,194,-2170,1149
shoulders,lateral-raise,-903,285,-481
shoulders,lateral-raise,196,552,-300
shoulders,lateral-raise,216,-607,757
shoulders,lateral-raise,477,-142,-142
shoulders,lateral-raise,881,244,-144
shoulders,lateral-raise,789,322,39
shoulders,lateral-raise,1005,301,36
shoulders,lateral-raise,1106,372,58
shoulders,lateral-raise,1207,510,48
shoulders,lateral-raise,1251,599,-77
shoulders,lateral-raise,1399,613,-690
shoulders,lateral-raise,1639,611,-1174
shoulders,lateral-raise,1785,528,-1099
shoulders,lateral-raise,1778,462,-1136
shoulders,lateral-raise,1648,439,-1221
shoulders,lateral-raise,1480,384,-1186
shoulders,lateral-raise,1329,298,-955
shoulders,lateral-raise,1228,215,-860
shoulders,lateral-raise,1171,218,-826
shoulders,lateral-raise,1148,262,-924
shoulders,lateral-raise,1184,286,-1156
shoulders,lateral-raise,1241,190,-1176
shoulders,lateral-raise,1280,97,-1171
shoulders,lateral-raise,1300,48,-1164
shoulders,lateral-raise,1290,16,-1093
shoulders,lateral-raise,1272,-8,-1002
shoulders,lateral-raise,1204,-3,-1025
shoulders,lateral-raise,1103,30,-961
shoulders,lateral-raise,1050,86,-885
shoulders,lateral-raise,924,104,-778
shoulders,lateral-raise,816,167,-695
shoulders,lateral-raise,735,235,-631
shoulders,lateral-raise,602,309,-596
shoulders,lateral-raise,471,287,-469
shoulders,lateral-raise,349,240,-311
shoulders,lateral-raise,169,240,-87
shoulders,lateral-raise,-27,222,-10
shoulders,lateral-raise,-182,177,-11
shoulders,lateral-raise,-322,128,-30
shoulders,lateral-raise,-452,118,74
shoulders,lateral-raise,-559,92,36
shoulders,lateral-raise,-637,20,-53
shoulders,lateral-raise,-702,-38,-57
shoulders,lateral-raise,-747,-42,-71
shoulders,lateral-raise,-792,-72,-184
shoulders,lateral-raise,-808,-125,-248
shoulders,lateral-raise,-795,-150,-119
shoulders,lateral-raise,-814,-121,-14
shoulders,lateral-raise,-797,8,124
shoulders,lateral-raise,-787,74,174
shoulders,lateral-raise,-777,47,251
shoulders,lateral-raise,-721,30,195
shoulders,lateral-raise,-610,22,80
shoulders,lateral-raise,-508,106,-28
shoulders,lateral-raise,-396,117,-24
shoulders,lateral-raise,-296,88,-32
shoulders,lateral-raise,-197,10,-103
shoulders,lateral-raise,-21,34,-334
shoulders,lateral-raise,171,114,-235
shoulders,lateral-raise,352,-53,-310
shoulders,lateral-raise,531,-5,-647
shoulders,lateral-raise,642,25,-450
shoulders,lateral-raise,965,-112,-586
shoulders,lateral-raise,1078,-48,-908
shoulders,lateral-raise,1088,-72,-872
shoulders,lateral-raise,1220,-266,-825
shoulders,lateral-raise,1414,-333,-999
shoulders,lateral-raise,1387,-232,-948
shoulders,lateral-raise,1369,-188,-922
shoulders,lateral-raise,1411,-98,-1098
shoulders,lateral-raise,1535,-25,-1155
shoulders,lateral-raise,1545,-50,-1194
shoulders,lateral-raise,1477,-109,-1147
shoulders,lateral-raise,1412,-87,-1318
shoulders,lateral-raise,1406,-23,-1227
shoulders,lateral-raise,1365,-2,-1056
shoulders,lateral-raise,1292,6,-883
shoulders,lateral-raise,1248,-16,-875
shoulders,lateral-raise,1211,28,-917
shoulders,lateral-raise,1167,48,-906
shoulders,lateral-raise,1141,26,-912
shoulders,lateral-raise,1125,-37,-909
shoulders,lateral-raise,1115,-100,-853
shoulders,lateral-raise,1082,-130,-775
shoulders,lateral-raise,1050,-112,-730
shoulders,lateral-raise,1026,-64,-623
shoulders,lateral-raise,998,-36,-507
shoulders,lateral-raise,975,-28,-459
shoulders,lateral-raise,964,-20,-440
shoulders,lateral-raise,960,0,-480
shoulders,lateral-raise,968,20,-613
shoulders,lateral-raise,998,24,-789
shoulders,lateral-raise,1042,13,-948
shoulders,lateral-raise,1101,-3,-1058
shoulders,lateral-raise,1165,-27,-1098
shoulders,lateral-raise,1187,-62,-1125
shoulders,lateral-raise,1192,-63,-1158
shoulders,lateral-raise,1197,-43,-1096
shoulders,lateral-raise,1213,-29,-1090
shoulders,lateral-raise,1231,-24,-1139
shoulders,lateral-raise,1246,-29,-1130
shoulders,lateral-raise,1238,-40,-1140
shoulders,lateral-raise,1232,-46,-1130
shoulders,lateral-raise,1219,-75,-1041
shoulders,lateral-raise,1161,-112,-950
shoulders,lateral-raise,1094,-108,-908
shoulders,lateral-raise,1036,-84,-883
shoulders,lateral-raise,965,-66,-834
shoulders,lateral-raise,893,-82,-694
shoulders,lateral-raise,805,-95,-617
shoulders,lateral-raise,703,-87,-554
shoulders,lateral-raise,600,-70,-494
shoulders,lateral-raise,483,-38,-464
shoulders,lateral-raise,389,-7,-472
shoulders,lateral-raise,279,24,-463
shoulders,lateral-raise,161,32,-361
shoulders,lateral-raise,51,48,-306
shoulders,lateral-raise,-89,56,-228
shoulders,lateral-raise,-163,101,-179
shoulders,lateral-raise,-270,97,-110
shoulders,lateral-raise,-387,96,-83
shoulders,lateral-raise,-463,117,-80
shoulders,lateral-raise,-513,147,-46
shoulders,lateral-raise,-520,119,7
shoulders,lateral-raise,-559,99,-49
shoulders,lateral-raise,-657,96,-178
shoulders,lateral-raise,-748,71,-220
shoulders,lateral-raise,-762,52,-182
shoulders,lateral-raise,-725,-5,-127
shoulders,lateral-raise,-758,-47,-152
shoulders,lateral-raise,-793,-6,-224
shoulders,lateral-raise,-784,32,-194
shoulders,lateral-raise,-750,56,-126
shoulders,lateral-raise,-721,79,-22
shoulders,lateral-raise,-702,103,19
shoulders,lateral-raise,-686,117,6
shoulders,lateral-raise,-652,166,-5
shoulders,lateral-raise,-578,213,28
shoulders,lateral-raise,-484,181,108
shoulders,lateral-raise,-378,90,131
shoulders,lateral-raise,-248,64,24
shoulders,lateral-raise,-118,111,-102
shoulders,lateral-raise,-4,158,-229
shoulders,lateral-raise,88,145,-310
shoulders,lateral-raise,148,89,-345
shoulders,lateral-raise,253,48,-527
shoulders,lateral-raise,457,3,-646
shoulders,lateral-raise,661,37,-551
shoulders,lateral-raise,820,80,-571
shoulders,lateral-raise,855,142,-904
shoulders,lateral-raise,744,294,-1053
shoulders,lateral-raise,825,211,-599
shoulders,lateral-raise,924,14,-619
shoulders,lateral-raise,1026,-43,-870
shoulders,lateral-raise,1070,169,-896
shoulders,lateral-raise,1221,254,-735
shoulders,lateral-raise,1350,251,-668
shoulders,lateral-raise,1561,281,-800
shoulders,lateral-raise,1612,363,-869
shoulders,lateral-raise,1627,319,-1036
shoulders,lateral-raise,1583,201,-1029
shoulders,lateral-raise,1521,212,-1196
shoulders,lateral-raise,1616,254,-1155
shoulders,lateral-raise,1610,221,-1208
shoulders,lateral-raise,1484,169,-1370
shoulders,lateral-raise,1360,216,-1424
shoulders,lateral-raise,1336,152,-1464
shoulders,lateral-raise,1336,152,-1464
shoulders,lateral-raise,1344,67,-1448
shoulders,lateral-raise,1283,26,-1418
shoulders,lateral-raise,1265,-13,-1289
shoulders,lateral-raise,1279,20,-1171
shoulders,lateral-raise,1280,45,-1017
shoulders,lateral-raise,1280,76,-930
shoulders,lateral-raise,1287,66,-913
shoulders,lateral-raise,1275,64,-859
shoulders,lateral-raise,1279,38,-900
shoulders,lateral-raise,1280,26,-874
shoulders,lateral-raise,1280,24,-864
shoulders,lateral-raise,1280,30,-876
shoulders,lateral-raise,1298,61,-915
shoulders,lateral-raise,1304,61,-934
shoulders,lateral-raise,1265,45,-947
shoulders,lateral-raise,1237,13,-925
shoulders,lateral-raise,1206,0,-870
shoulders,lateral-raise,1146,10,-833
shoulders,lateral-raise,1090,36,-780
shoulders,lateral-raise,1029,38,-714
shoulders,lateral-raise,931,41,-679
shoulders,lateral-raise,826,61,-676
shoulders,lateral-raise,745,72,-615
shoulders,lateral-raise,654,76,-548
shoulders,lateral-raise,544,76,-520
shoulders,lateral-raise,438,64,-458
shoulders,lateral-raise,329,45,-379
shoulders,lateral-raise,211,28,-372
shoulders,lateral-raise,104,34,-415
shoulders,lateral-raise,9,54,-398
shoulders,lateral-raise,-85,70,-317
shoulders,lateral-raise,-167,89,-271
shoulders,lateral-raise,-235,107,-298
shoulders,lateral-raise,-319,117,-264
shoulders,lateral-raise,-399,133,-224
shoulders,lateral-raise,-446,146,-154
shoulders,lateral-raise,-495,141,-109
shoulders,lateral-raise,-544,110,-49
shoulders,lateral-raise,-586,84,80
shoulders,lateral-raise,-669,11,200
shoulders,lateral-raise,-752,5,223
shoulders,lateral-raise,-744,64,165
shoulders,lateral-raise,-703,53,66
shoulders,lateral-raise,-695,-16,31
shoulders,lateral-raise,-681,-74,19
shoulders,lateral-raise,-618,-87,-35
shoulders,lateral-raise,-556,-77,-151
shoulders,lateral-raise,-493,-40,-240
shoulders,lateral-raise,-438,-48,-246
shoulders,lateral-raise,-367,-64,-185
shoulders,lateral-raise,-281,-56,-279
shoulders,lateral-raise,-179,6,-272
shoulders,lateral-raise,-85,23,-219
shoulders,lateral-raise,-5,2,-484
shoulders,lateral-raise,109,95,-643
shoulders,lateral-raise,199,104,-463
shoulders,lateral-raise,348,62,-635
shoulders,lateral-raise,504,97,-773
shoulders,lateral-raise,588,64,-672
shoulders,lateral-raise,711,-29,-596
shoulders,lateral-raise,901,-29,-825
shoulders,lateral-raise,907,119,-801
shoulders,lateral-raise,944,112,-637
shoulders,lateral-raise,1054,-16,-574
shoulders,lateral-raise,1203,-39,-786
shoulders,lateral-raise,1259,63,-833
shoulders,lateral-raise,1264,77,-654
shoulders,lateral-raise,1296,64,-408
shoulders,lateral-raise,1501,49,-244
shoulders,lateral-raise,1588,149,-501
shoulders,lateral-raise,1552,312,-717
shoulders,lateral-raise,1508,302,-602
shoulders,lateral-raise,1501,150,-446
shoulders,lateral-raise,1577,59,-568
shoulders,lateral-raise,1557,156,-991
shoulders,lateral-raise,1488,284,-1360
shoulders,lateral-raise,1469,247,-1649
shoulders,lateral-raise,1444,139,-1836
shoulders,lateral-raise,1422,61,-1807
shoulders,lateral-raise,1373,13,-1685
shoulders,lateral-raise,1320,37,-1415
shoulders,lateral-raise,1272,120,-1105
shoulders,lateral-raise,1220,210,-914
shoulders,lateral-raise,1203,259,-859
shoulders,lateral-raise,1218,254,-883
shoulders,lateral-raise,1255,222,-883
shoulders,lateral-raise,1306,191,-870
shoulders,lateral-raise,1363,160,-870
shoulders,lateral-raise,1394,134,-925
shoulders,lateral-raise,1396,135,-1056
shoulders,lateral-raise,1392,150,-1099
shoulders,lateral-raise,1434,108,-1054
shoulders,lateral-raise,1480,95,-1080
shoulders,lateral-raise,1480,133,-1072
shoulders,lateral-raise,1473,160,-997
shoulders,lateral-raise,1419,162,-799
shoulders,lateral-raise,1369,182,-650
shoulders,lateral-raise,1288,249,-577
shoulders,lateral-raise,1169,255,-475
shoulders,lateral-raise,1020,231,-373
shoulders,lateral-raise,896,200,-280
shoulders,lateral-raise,744,224,-256
shoulders,lateral-raise,604,208,-171
shoulders,lateral-raise,433,223,-69
shoulders,lateral-raise,290,202,-57
shoulders,lateral-raise,178,149,-41
shoulders,lateral-raise,25,144,-161
shoulders,lateral-raise,-125,158,-183
shoulders,lateral-raise,-185,126,-191
shoulders,lateral-raise,-232,140,-285
shoulders,lateral-raise,-305,98,-311
shoulders,lateral-raise,-384,56,-306
shoulders,lateral-raise,-425,48,-168
shoulders,lateral-raise,-450,30,-134
shoulders,lateral-raise,-485,42,-65
shoulders,lateral-raise,-513,77,6
shoulders,lateral-raise,-520,94,35
shoulders,lateral-raise,-482,112,-25
shoulders,lateral-raise,-438,152,-88
shoulders,lateral-raise,-409,163,-99
shoulders,lateral-raise,-370,125,-56
shoulders,lateral-raise,-304,104,-37
shoulders,lateral-raise,-212,90,-8
shoulders,lateral-raise,-110,44,-11
shoulders,lateral-raise,-8,16,-71
shoulders,lateral-raise,136,20,-183
shoulders,lateral-raise,292,48,-284
shoulders,lateral-raise,414,60,-270
shoulders,lateral-raise,564,44,-154
shoulders,lateral-raise,841,51,-97
shoulders,lateral-raise,1100,71,-239
shoulders,lateral-raise,1250,64,-431
shoulders,lateral-raise,1366,55,-626
shoulders,lateral-raise,1362,121,-778
shoulders,lateral-raise,1441,178,-651
shoulders,lateral-raise,1569,98,-632
shoulders,lateral-raise,1694,-1,-704
shoulders,lateral-raise,1686,80,-877
shoulders,lateral-raise,1714,211,-816
shoulders,lateral-raise,1692,220,-791
shoulders,lateral-raise,1664,144,-676
shoulders,lateral-raise,1598,91,-802
shoulders,lateral-raise,1569,114,-888
shoulders,lateral-raise,1605,148,-1329
shoulders,lateral-raise,1593,66,-1781
shoulders,lateral-raise,1604,-101,-1817
shoulders,lateral-raise,1633,-366,-1867
shoulders,lateral-raise,1634,-473,-1728
shoulders,lateral-raise,1569,-394,-1382
shoulders,lateral-raise,1478,-305,-1137
shoulders,lateral-raise,1448,-173,-991
shoulders,lateral-raise,1456,-63,-951
shoulders,lateral-raise,1504,-1,-825
shoulders,lateral-raise,1527,47,-793
shoulders,lateral-raise,1520,78,-937
shoulders,lateral-raise,1557,73,-914
shoulders,lateral-raise,1596,21,-883
shoulders,lateral-raise,1629,37,-794
shoulders,lateral-raise,1660,75,-756
shoulders,lateral-raise,1637,141,-820
shoulders,lateral-raise,1599,145,-792
shoulders,lateral-raise,1553,164,-699
shoulders,lateral-raise,1500,155,-674
shoulders,lateral-raise,1426,171,-622
shoulders,lateral-raise,1329,164,-608
shoulders,lateral-raise,1228,142,-602
shoulders,lateral-raise,1114,125,-583
shoulders,lateral-raise,1008,126,-626
shoulders,lateral-raise,911,128,-643
shoulders,lateral-raise,806,123,-551
shoulders,lateral-raise,697,105,-387
shoulders,lateral-raise,567,96,-236
shoulders,lateral-raise,407,82,-107
shoulders,lateral-raise,225,72,55
shoulders,lateral-raise,55,103,172
shoulders,lateral-raise,-94,119,204
shoulders,lateral-raise,-214,87,241
shoulders,lateral-raise,-316,24,264
shoulders,lateral-raise,-406,3,264
shoulders,lateral-raise,-477,31,257
shoulders,lateral-raise,-523,22,212
shoulders,lateral-raise,-543,7,119
shoulders,lateral-raise,-549,39,27
shoulders,lateral-raise,-538,84,17
shoulders,lateral-raise,-516,113,-9
shoulders,lateral-raise,-463,136,-140
shoulders,lateral-raise,-369,168,-246
shoulders,lateral-raise,-280,190,-183
shoulders,lateral-raise,-192,134,-83
shoulders,lateral-raise,-82,46,-110
shoulders,lateral-raise,22,52,-212
shoulders,lateral-raise,117,93,-182
shoulders,lateral-raise,279,96,-188
shoulders,lateral-raise,530,53,-438
shoulders,lateral-raise,584,151,-384
shoulders,lateral-raise,656,170,-357
shoulders,lateral-raise,881,58,-426
shoulders,lateral-raise,1163,-143,-415
shoulders,lateral-raise,1196,-126,-659
shoulders,lateral-raise,1242,-21,-519
shoulders,lateral-raise,1381,23,-422
shoulders,lateral-raise,1473,12,-993
shoulders,lateral-raise,1504,160,-760
shoulders,lateral-raise,1600,120,-608
shoulders,lateral-raise,1600,120,-608
shoulders,lateral-raise,1647,50,-771
shoulders,lateral-raise,1625,18,-1004
shoulders,lateral-raise,1617,23,-807
shoulders,lateral-raise,1587,-12,-756
shoulders,lateral-raise,1555,-9,-652
shoulders,lateral-raise,1615,13,-710
