arms,biceps-curl,1376,-8,184
arms,biceps-curl,1213,365,-2
arms,biceps-curl,1185,178,251
arms,biceps-curl,1400,205,93
arms,biceps-curl,1525,91,102
arms,biceps-curl,1615,109,190
arms,biceps-curl,1610,140,74
arms,biceps-curl,1553,171,42
arms,biceps-curl,1571,149,220
arms,biceps-curl,1569,157,80
arms,biceps-curl,1517,103,21
arms,biceps-curl,1479,63,128
arms,biceps-curl,1460,116,184
arms,biceps-curl,1462,95,139
arms,biceps-curl,1475,132,137
arms,biceps-curl,1441,119,166
arms,biceps-curl,1424,109,149
arms,biceps-curl,1382,117,157
arms,biceps-curl,1304,95,163
arms,biceps-curl,1237,105,145
arms,biceps-curl,1154,106,189
arms,biceps-curl,1038,119,201
arms,biceps-curl,926,114,148
arms,biceps-curl,802,83,176
arms,biceps-curl,690,80,241
arms,biceps-curl,648,68,172
arms,biceps-curl,617,56,61
arms,biceps-curl,562,64,14
arms,biceps-curl,501,64,-19
arms,biceps-curl,443,111,-22
arms,biceps-curl,430,144,8
arms,biceps-curl,434,81,17
arms,biceps-curl,407,59,-5
arms,biceps-curl,379,61,-3
arms,biceps-curl,389,56,-26
arms,biceps-curl,407,80,-74
arms,biceps-curl,429,136,-101
arms,biceps-curl,453,142,-123
arms,biceps-curl,512,172,-127
arms,biceps-curl,595,222,-43
arms,biceps-curl,652,279,-36
arms,biceps-curl,734,308,-73
arms,biceps-curl,765,328,-29
arms,biceps-curl,797,321,6
arms,biceps-curl,825,282,-93
arms,biceps-curl,834,301,-66
arms,biceps-curl,852,350,-3
arms,biceps-curl,901,418,120
arms,biceps-curl,970,442,11
arms,biceps-curl,1011,473,65
arms,biceps-curl,1097,512,104
arms,biceps-curl,1159,496,112
arms,biceps-curl,1121,543,159
arms,biceps-curl,1120,544,244
arms,biceps-curl,1038,604,412
arms,biceps-curl,988,681,358
arms,biceps-curl,920,717,359
arms,biceps-curl,884,685,409
arms,biceps-curl,839,735,443
arms,biceps-curl,792,771,475
arms,biceps-curl,771,789,617
arms,biceps-curl,743,805,597
arms,biceps-curl,686,833,621
arms,biceps-curl,660,852,553
arms,biceps-curl,621,874,557
arms,biceps-curl,608,863,625
arms,biceps-curl,580,862,609
arms,biceps-curl,541,864,630
arms,biceps-curl,496,890,680
arms,biceps-curl,455,929,681
arms,biceps-curl,410,944,662
arms,biceps-curl,344,934,661
arms,biceps-curl,293,919,669
arms,biceps-curl,258,908,645
arms,biceps-curl,201,887,568
arms,biceps-curl,135,860,520
arms,biceps-curl,52,848,592
arms,biceps-curl,-35,848,691
arms,biceps-curl,-113,833,609
arms,biceps-curl,-195,809,455
arms,biceps-curl,-257,756,448
arms,biceps-curl,-312,693,474
arms,biceps-curl,-381,670,427
arms,biceps-curl,-433,620,391
arms,biceps-curl,-472,570,437
arms,biceps-curl,-496,541,456
arms,biceps-curl,-522,500,377
arms,biceps-curl,-558,402,160
arms,biceps-curl,-609,376,200
arms,biceps-curl,-642,394,290
arms,biceps-curl,-598,358,181
arms,biceps-curl,-592,280,47
arms,biceps-curl,-589,212,86
arms,biceps-curl,-583,192,-7
arms,biceps-curl,-614,191,-73
arms,biceps-curl,-608,185,-39
arms,biceps-curl,-662,194,-87
arms,biceps-curl,-654,207,-72
arms,biceps-curl,-713,191,3
arms,biceps-curl,-726,184,-66
arms,biceps-curl,-690,177,-93
arms,biceps-curl,-744,224,16
arms,biceps-curl,-728,280,0
arms,biceps-curl,-689,327,-8
arms,biceps-curl,-711,343,106
arms,biceps-curl,-719,374,321
arms,biceps-curl,-662,478,168
arms,biceps-curl,-585,481,173
arms,biceps-curl,-534,508,309
arms,biceps-curl,-508,635,458
arms,biceps-curl,-497,696,360
arms,biceps-curl,-509,652,290
arms,biceps-curl,-499,748,439
arms,biceps-curl,-453,813,474
arms,biceps-curl,-380,752,472
arms,biceps-curl,-325,799,531
arms,biceps-curl,-278,841,546
arms,biceps-curl,-236,820,533
arms,biceps-curl,-197,846,544
arms,biceps-curl,-137,890,599
arms,biceps-curl,-25,828,502
arms,biceps-curl,73,804,472
arms,biceps-curl,27,869,625
arms,biceps-curl,55,890,592
arms,biceps-curl,161,884,558
arms,biceps-curl,273,914,626
arms,biceps-curl,353,907,640
arms,biceps-curl,384,896,656
arms,biceps-curl,435,904,665
arms,biceps-curl,479,870,644
arms,biceps-curl,530,829,608
arms,biceps-curl,577,819,571
arms,biceps-curl,581,798,563
arms,biceps-curl,624,754,553
arms,biceps-curl,652,738,580
arms,biceps-curl,651,712,586
arms,biceps-curl,691,675,544
arms,biceps-curl,701,657,517
arms,biceps-curl,710,629,505
arms,biceps-curl,719,600,437
arms,biceps-curl,762,594,412
arms,biceps-curl,768,574,404
arms,biceps-curl,783,563,323
arms,biceps-curl,846,540,294
arms,biceps-curl,877,520,391
arms,biceps-curl,906,515,380
arms,biceps-curl,922,488,352
arms,biceps-curl,939,490,298
arms,biceps-curl,969,504,311
arms,biceps-curl,986,503,302
arms,biceps-curl,1011,496,280
arms,biceps-curl,1064,497,289
arms,biceps-curl,1064,520,312
arms,biceps-curl,1072,560,344
arms,biceps-curl,1064,552,360
arms,biceps-curl,1034,598,451
arms,biceps-curl,1002,600,441
arms,biceps-curl,964,593,462
arms,biceps-curl,896,649,500
arms,biceps-curl,867,656,539
arms,biceps-curl,837,683,564
arms,biceps-curl,799,708,588
arms,biceps-curl,799,705,585
arms,biceps-curl,794,723,565
arms,biceps-curl,755,734,603
arms,biceps-curl,738,754,598
arms,biceps-curl,707,789,657
arms,biceps-curl,673,823,714
