1.008,0.536,0.488,biceps-curl,,,
1.039,0.505,0.465,biceps-curl,,,
1.032,0.405,0.456,biceps-curl,,,
1.047,0.325,0.396,biceps-curl,,,
1.106,0.327,0.334,biceps-curl,,,
1.162,0.292,0.307,biceps-curl,,,
1.252,0.232,0.339,biceps-curl,,,
1.353,0.217,0.344,biceps-curl,,,
1.375,0.169,0.331,biceps-curl,,,
1.369,0.18,0.361,biceps-curl,,,
1.406,0.171,0.336,biceps-curl,,,
1.49,0.131,0.347,biceps-curl,,,
1.53,0.138,0.443,biceps-curl,,,
1.53,0.15,0.596,biceps-curl,,,
1.517,0.106,0.474,biceps-curl,,,
1.456,0.121,0.347,biceps-curl,,,
1.432,0.093,0.179,biceps-curl,,,
1.443,0.224,-0.04,biceps-curl,,,
1.423,0.294,0.007,biceps-curl,,,
1.383,0.263,0.07,biceps-curl,,,
1.335,0.124,-0.07,biceps-curl,,,
1.312,0.22,-0.211,biceps-curl,,,
1.24,0.388,0.101,biceps-curl,,,
1.223,0.399,0.329,biceps-curl,,,
1.372,0.263,0.242,biceps-curl,,,
1.548,0.16,0.084,biceps-curl,,,
1.674,0.156,-0.051,biceps-curl,,,
1.754,0.166,-0.035,biceps-curl,,,
1.776,0.174,0.022,biceps-curl,,,
1.732,0.176,0.104,biceps-curl,,,
1.653,0.211,0.202,biceps-curl,,,
1.609,0.225,0.219,biceps-curl,,,
1.569,0.243,0.186,biceps-curl,,,
1.528,0.237,0.104,biceps-curl,,,
1.478,0.213,0.137,biceps-curl,,,
1.438,0.201,0.233,biceps-curl,,,
1.409,0.166,0.149,biceps-curl,,,
1.344,0.143,0.149,biceps-curl,,,
1.31,0.194,0.093,biceps-curl,,,
1.249,0.148,0.037,biceps-curl,,,
1.118,0.131,0.154,biceps-curl,,,
0.998,0.094,0.206,biceps-curl,,,
0.908,0.009,0.132,biceps-curl,,,
0.832,-0.03,0.163,biceps-curl,,,
0.724,-0.059,0.223,biceps-curl,,,
0.634,-0.021,0.219,biceps-curl,,,
0.577,0.002,0.229,biceps-curl,,,
0.499,0.032,0.108,biceps-curl,,,
0.42,0.137,0.053,biceps-curl,,,
0.343,0.159,-0.002,biceps-curl,,,
0.296,0.12,-0.07,biceps-curl,,,
0.32,0.12,0.126,biceps-curl,,,
0.336,0.066,0.027,biceps-curl,,,
0.336,0.171,-0.022,biceps-curl,,,
0.403,0.198,0.11,biceps-curl,,,
0.459,0.149,0.018,biceps-curl,,,
0.578,0.144,-0.013,biceps-curl,,,
0.697,0.074,-0.114,biceps-curl,,,
0.678,0.057,-0.162,biceps-curl,,,
0.699,0.109,-0.028,biceps-curl,,,
0.776,0.14,-0.085,biceps-curl,,,
0.811,0.163,-0.161,biceps-curl,,,
0.791,0.23,-0.319,biceps-curl,,,
0.85,0.2,-0.336,biceps-curl,,,
0.878,0.19,-0.181,biceps-curl,,,
0.869,0.209,-0.157,biceps-curl,,,
0.886,0.249,-0.263,biceps-curl,,,
0.907,0.296,-0.239,biceps-curl,,,
0.923,0.344,-0.261,biceps-curl,,,
0.943,0.345,-0.324,biceps-curl,,,
0.962,0.405,-0.22,biceps-curl,,,
0.978,0.477,-0.173,biceps-curl,,,
0.993,0.468,-0.146,biceps-curl,,,
1.004,0.461,-0.099,biceps-curl,,,
0.995,0.494,-0.123,biceps-curl,,,
0.984,0.516,-0.115,biceps-curl,,,
0.984,0.52,-0.088,biceps-curl,,,
0.996,0.539,-0.058,biceps-curl,,,
1.012,0.575,0.006,biceps-curl,,,
1.027,0.603,0.043,biceps-curl,,,
1.043,0.616,0.026,biceps-curl,,,
