shoulders,barbell-press,,45,8,208,840,-536
shoulders,barbell-press,,45,8,192,856,-474
shoulders,barbell-press,,45,8,192,856,-472
shoulders,barbell-press,,45,8,170,841,-465
shoulders,barbell-press,,45,8,146,833,-464
shoulders,barbell-press,,45,8,137,853,-443
shoulders,barbell-press,,45,8,157,870,-503
shoulders,barbell-press,,45,8,174,886,-546
shoulders,barbell-press,,45,8,223,868,-585
shoulders,barbell-press,,45,8,284,877,-572
shoulders,barbell-press,,45,8,328,886,-562
shoulders,barbell-press,,45,8,317,863,-554
shoulders,barbell-press,,45,8,276,844,-570
shoulders,barbell-press,,45,8,258,858,-588
shoulders,barbell-press,,45,8,239,870,-552
shoulders,barbell-press,,45,8,221,839,-564
shoulders,barbell-press,,45,8,221,819,-657
shoulders,barbell-press,,45,8,224,805,-717
shoulders,barbell-press,,45,8,183,795,-631
shoulders,barbell-press,,45,8,111,772,-576
shoulders,barbell-press,,45,8,99,755,-638
shoulders,barbell-press,,45,8,117,738,-745
shoulders,barbell-press,,45,8,57,688,-774
shoulders,barbell-press,,45,8,21,665,-743
shoulders,barbell-press,,45,8,86,660,-770
shoulders,barbell-press,,45,8,184,636,-824
shoulders,barbell-press,,45,8,240,624,-878
shoulders,barbell-press,,45,8,226,620,-876
shoulders,barbell-press,,45,8,189,612,-806
shoulders,barbell-press,,45,8,176,581,-878
shoulders,barbell-press,,45,8,182,534,-982
shoulders,barbell-press,,45,8,164,511,-907
shoulders,barbell-press,,45,8,10,470,-816
shoulders,barbell-press,,45,8,-184,427,-779
shoulders,barbell-press,,45,8,20,391,-922
shoulders,barbell-press,,45,8,329,389,-1098
shoulders,barbell-press,,45,8,83,586,-981
shoulders,barbell-press,,45,8,175,543,-956
shoulders,barbell-press,,45,8,234,398,-962
shoulders,barbell-press,,45,8,211,350,-935
shoulders,barbell-press,,45,8,187,283,-909
shoulders,barbell-press,,45,8,161,252,-929
shoulders,barbell-press,,45,8,121,191,-923
shoulders,barbell-press,,45,8,84,137,-848
shoulders,barbell-press,,45,8,66,99,-809
shoulders,barbell-press,,45,8,81,118,-877
shoulders,barbell-press,,45,8,85,104,-914
shoulders,barbell-press,,45,8,54,101,-847
shoulders,barbell-press,,45,8,32,61,-840
shoulders,barbell-press,,45,8,33,152,-845
shoulders,barbell-press,,45,8,72,160,-1007
shoulders,barbell-press,,45,8,64,176,-913
shoulders,barbell-press,,45,8,2,153,-695
shoulders,barbell-press,,45,8,15,198,-840
shoulders,barbell-press,,45,8,-6,207,-982
shoulders,barbell-press,,45,8,-52,201,-861
shoulders,barbell-press,,45,8,-127,214,-720
shoulders,barbell-press,,45,8,-157,314,-844
shoulders,barbell-press,,45,8,-140,348,-1137
shoulders,barbell-press,,45,8,-163,359,-1024
shoulders,barbell-press,,45,8,-220,373,-784
shoulders,barbell-press,,45,8,-232,516,-920
shoulders,barbell-press,,45,8,-207,558,-1030
